"WayptID","Latitude","Longitude","Northing","Easting","UTMZone1","UTMZone2","Datum","Projection","FieldbookPage","Formation","Comments","WaypointSrc"
122,0.00,0.00,4026933.37,718024.02,11,"S","NAD83","UTM","10",,"Biscuits",
123,0.00,0.00,4027401.46,717654.24,11,"S","NAD83","UTM","7/x/61",,"""The Package""",
124,0.00,0.00,4027338.15,717657.27,11,"S","NAD83","UTM","7/x/61",,"Teepee; ""The Package""",
125,0.00,0.00,4027272.91,717716.29,11,"S","NAD83","UTM",,,,
126,0.00,0.00,4027191.91,717780.19,11,"S","NAD83","UTM","8",,"Like wypt 25",
127,0.00,0.00,4026949.95,718016.69,11,"S","NAD83","UTM","10",,"Gorilla beds",
128,0.00,0.00,4026891.08,718209.62,11,"S","NAD83","UTM","11",,"Biscuit",
129,0.00,0.00,4026912.72,718248.67,11,"S","NAD83","UTM","11",,"Small biscuit",
130,0.00,0.00,4026909.93,718230.70,11,"S","NAD83","UTM","12",,"Biscuit (309); Gorilla Bed (310)",
131,0.00,0.00,4026884.43,718240.95,11,"S","NAD83","UTM","12",,,
132,0.00,0.00,4022247.48,712995.41,11,"S","NAD83","UTM","62/60/48/10",,"Teepee structure: photos 130-132",
133,0.00,0.00,4022202.13,712947.92,11,"S","NAD83","UTM","63/60/48/10",,"Limestone with chert nodules: photos 133-135",
134,0.00,0.00,4022232.01,712984.83,11,"S","NAD83","UTM","61/60/47/9",,"Domal strom sample.  202: tuffaceous limestone.",
135,0.00,0.00,4022249.42,712997.52,11,"S","NAD83","UTM","16",,"214: photos 166-172; 215: 173-180",
136,0.00,0.00,4022227.00,712984.33,11,"S","NAD83","UTM","17",,"Teepee structure: Photos 181-187",
137,0.00,0.00,4022220.53,712974.06,11,"S","NAD83","UTM","17",,"Limestone with chert nodules: photos 188-192",
138,0.00,0.00,4022071.40,712583.05,11,"S","NAD83","UTM","18",,"Mini Fru with teepee: photos 195-203",
139,0.00,0.00,4022040.76,712483.45,11,"S","NAD83","UTM","20",,"Strat strom: photos 205-207",
140,0.00,0.00,4022235.11,713002.63,11,"S","NAD83","UTM","61/59/47/9",,"Hill 1; photos 122-124 on black Canon camera",
141,0.00,0.00,4021981.56,712418.69,11,"S","NAD83","UTM","20",,"Strat strom with tufaceous layer: photos 208-211",
142,0.00,0.00,4022752.34,714183.74,11,"S","NAD83","UTM",,,,
143,0.00,0.00,4022245.01,713003.47,11,"S","NAD83","UTM","61/59/46/8",,"HILL 1; start of section.",
144,0.00,0.00,4022239.67,713002.79,11,"S","NAD83","UTM","61/59/x/x",,"Domal stromatolites.  125-126 on black Canon.",
145,0.00,0.00,4022178.05,712903.14,11,"S","NAD83","UTM","63/61/48/11",,"Start of hill 2: photos 136-138, black canon camera; photos 139-140",
146,0.00,0.00,4022180.55,712900.84,11,"S","NAD83","UTM","64/62/48b/11",,"Laminated stromatolite, domal. Photos 141-144 black canon.",
147,0.00,0.00,4022176.86,712896.41,11,"S","NAD83","UTM","64/62/48b/12",,"Teepees and domal stroms, photos 145-147.",
148,0.00,0.00,4022178.81,712893.33,11,"S","NAD83","UTM","65/63/48b/12",,"Like sample 204.",
149,0.00,0.00,4022151.04,712666.54,11,"S","NAD83","UTM","65/64/49a/13",,"Domal stromatolite.  Photos 152-156.",
150,0.00,0.00,4022148.72,712662.46,11,"S","NAD83","UTM","66/64/49a/13",,"Large biscuits! Photos 157-160",
151,0.00,0.00,4022070.43,712584.51,11,"S","NAD83","UTM","66/65/49a/14",,"Hill 3 west side. Oolitic limestone in strom? Photos 162-63",
152,0.00,0.00,4022154.33,712655.86,11,"S","NAD83","UTM","65/64/49a/13",,"HILL3, east side. Bottom of section. Photos: 149-150",
153,0.00,0.00,4021157.53,730251.80,11,"S","NAD83","UTM",,,,
154,0.00,0.00,4022571.06,714220.20,11,"S","NAD83","UTM",,,,
155,,,4121124.86,670218.63,11,"S","WGS84",,,"Modern","This is a dummy point for samples collected in the lithified microbialites area of LPAH where we may not have actual GPS location data.",
156,0.00,0.00,4120838.00,670256.00,11,"S","NAD83",,"63",,,
157,0.00,0.00,4120865.00,670261.00,11,"S","NAD83","UTM","64","Modern",,
158,0.00,0.00,4120864.00,670269.00,11,"S","NAD83","UTM","65",,,
159,0.00,0.00,4120551.00,669793.00,11,"S","NAD83","UTM","102","Holocene",,
160,0.00,0.00,4120885.00,670279.00,11,"S","NAD83","UTM","66","Holocene",,
161,0.00,0.00,4024711.00,717965.00,11,"S","NAD27","UTM","151","Thtl",,
162,0.00,0.00,4117930.00,675413.00,11,"s","NAD83","UTM","150","Holocene",,
720,36.34,-114.57,4025030.00,717470.00,11,"S","NAD83","UTM","1","Thl",,
721,36.34,-114.57,4025010.00,717442.00,11,"S","NAD83","UTM","3","Thl",,
722,36.34,-114.57,4024980.00,717408.00,11,"S","NAD83","UTM","4","Thl",,
723,36.34,-114.57,4024990.00,717359.00,11,"S","NAD83","UTM","4","Thl",,
724,36.34,-114.57,4025000.00,717374.00,11,"S","NAD83","UTM",,"Thl",,
725,36.34,-114.57,4025010.00,717289.00,11,"S","NAD83","UTM","4","Thl",,
726,36.34,-114.57,4024980.00,717286.00,11,"S","NAD83","UTM","5","Thl",,
727,36.34,-114.57,4025070.00,717129.00,11,"S","NAD83","UTM","5","Thl",,
728,36.34,-114.58,4024980.00,716862.00,11,"S","NAD83","UTM",,"Thl",,
729,36.34,-114.58,4024980.00,716862.00,11,"S","NAD83","UTM",,"Thl",,
730,36.34,-114.58,4024850.00,716847.00,11,"S","NAD83","UTM","5","Thl",,
731,36.34,-114.58,4024690.00,716893.00,11,"S","NAD83","UTM","6","Thl",,
732,36.34,-114.58,4024610.00,716955.00,11,"S","NAD83","UTM","6","Thl",,
733,36.33,-114.58,4024320.00,716449.00,11,"S","NAD83","UTM","8","Thl",,
734,36.33,-114.58,4024350.00,716410.00,11,"S","NAD83","UTM","8","Thl",,
735,36.34,-114.58,4024450.00,716752.00,11,"S","NAD83","UTM","9","Thl",,
736,36.33,-114.58,4024260.00,716627.00,11,"S","NAD83","UTM",,"Thl",,
737,36.33,-114.60,4023350.00,714971.00,11,"S","NAD83","UTM","9","Thl",,
738,36.33,-114.60,4023350.00,714976.00,11,"S","NAD83","UTM","9","Thl",,
739,36.32,-114.60,4023150.00,714663.00,11,"S","NAD83","UTM","10","Thl",,
740,36.32,-114.60,4022990.00,714766.00,11,"S","NAD83","UTM","10","Thl",,
741,36.32,-114.60,4022990.00,714726.00,11,"S","NAD83","UTM","11","Thl",,
742,36.32,-114.61,4022920.00,714401.00,11,"S","NAD83","UTM","12","Thl",,
743,36.32,-114.61,4022580.00,714204.00,11,"S","NAD83","UTM","12","Thl",,
744,36.32,-114.61,4022390.00,714364.00,11,"S","NAD83","UTM","13","Thl",,
745,36.32,-114.61,4022500.00,713838.00,11,"S","NAD83","UTM","13","Thl",,
746,36.32,-114.60,4023030.00,715290.00,11,"S","NAD83","UTM","14","Thl",,
747,36.29,-114.65,4019440.00,710838.00,11,"S","NAD83","UTM",,"Thl",,
748,36.32,-114.61,4022740.00,713619.00,11,"S","NAD83","UTM",,"Thl",,
749,36.32,-114.61,4022740.00,713619.00,11,"S","NAD83","UTM",,"Thl",,
750,36.32,-114.61,4022740.00,713619.00,11,"S","NAD83","UTM",,"Thl",,
751,36.32,-114.61,4022740.00,713619.00,11,"S","NAD83","UTM",,"Thl",,
752,36.29,-114.65,4019180.00,710861.00,11,"S","NAD83","UTM","15","Thl",,
753,36.29,-114.65,4019190.00,710755.00,11,"S","NAD83","UTM","16","Thl",,
754,36.30,-114.64,4020900.00,711471.00,11,"S","NAD83","UTM",,"Thl",,
755,36.30,-114.64,4020880.00,711478.00,11,"S","NAD83","UTM","17","Thl",,
756,36.31,-114.64,4021040.00,711624.00,11,"S","NAD83","UTM","18","Thl",,
757,36.31,-114.63,4021110.00,711870.00,11,"S","NAD83","UTM","18","Thl",,
758,36.31,-114.63,4021140.00,711913.00,11,"S","NAD83","UTM","19","Thl",,
759,36.31,-114.63,4021150.00,711933.00,11,"S","NAD83","UTM","19","Thl",,
760,36.31,-114.63,4021190.00,711986.00,11,"S","NAD83","UTM","20","Thl",,
761,36.31,-114.63,4021310.00,712057.00,11,"S","NAD83","UTM","21","Thl",,
762,36.31,-114.63,4021580.00,712113.00,11,"S","NAD83","UTM",,"Thl",,
763,36.31,-114.63,4021580.00,712111.00,11,"S","NAD83","UTM","22","Thl",,
764,36.32,-114.62,4022180.00,712903.00,11,"S","NAD83","UTM",,"Thl",,
765,36.32,-114.62,4022180.00,712901.00,11,"S","NAD83","UTM",,"Thl",,
766,36.32,-114.63,4022060.00,712583.00,11,"S","NAD83","UTM","25","Thl",,
767,36.32,-114.63,4022050.00,712490.00,11,"S","NAD83","UTM",,"Thl",,
768,36.31,-114.63,4021980.00,712433.00,11,"S","NAD83","UTM","26","Thl",,
769,36.31,-114.63,4021930.00,712377.00,11,"S","NAD83","UTM","27","Thl",,
770,36.33,-114.58,4024240.00,716225.00,11,"S","NAD83","UTM","29","Thl",,
771,36.33,-114.58,4024050.00,716255.00,11,"S","NAD83","UTM","29","Thl",,
772,36.33,-114.58,4024000.00,716350.00,11,"S","NAD83","UTM",,"Thl",,
773,36.33,-114.59,4024030.00,716173.00,11,"S","NAD83","UTM","30","Thl",,
774,36.33,-114.59,4023960.00,716185.00,11,"S","NAD83","UTM","31","Thl",,
775,36.33,-114.59,4023730.00,716058.00,11,"S","NAD83","UTM",,"Thl",,
776,36.33,-114.59,4023830.00,715991.00,11,"S","NAD83","UTM","32","Thl",,
777,36.32,-114.59,4022930.00,715822.00,11,"S","NAD83","UTM",,"Thl",,
778,36.20,-114.69,4008790.00,707195.00,11,"S","NAD83","UTM","33,33","Trl",,
779,36.20,-114.69,4008840.00,707208.00,11,"S","NAD83","UTM",,"Trl",,
780,36.20,-114.69,4008990.00,706954.00,11,"S","NAD83","UTM","38,43","Trl",,
781,36.20,-114.69,4009000.00,706906.00,11,"S","NAD83","UTM","39","Trl",,
782,36.20,-114.69,4009000.00,706927.00,11,"S","NAD83","UTM","41, 46","Trl",,
783,36.20,-114.69,4009010.00,706909.00,11,"S","NAD83","UTM","46","Trl",,
784,36.20,-114.69,4009000.00,706882.00,11,"S","NAD83","UTM","46","Trl",,
785,36.20,-114.69,4009000.00,706877.00,11,"S","NAD83","UTM","47","Trl",,
786,36.20,-114.69,4009000.00,706860.00,11,"S","NAD83","UTM","47","Trl",,
787,36.20,-114.69,4009060.00,706813.00,11,"S","NAD83","UTM","48","Trl",,
788,36.20,-114.69,4009160.00,706703.00,11,"S","NAD83","UTM","52","Trl",,
789,36.20,-114.70,4009140.00,706679.00,11,"S","NAD83","UTM","52","Trl",,
790,36.20,-114.70,4009140.00,706683.00,11,"S","NAD83","UTM","52","Trl",,
791,36.20,-114.70,4009140.00,706681.00,11,"S","NAD83","UTM","52","Trl",,
792,36.20,-114.70,4009140.00,706676.00,11,"S","NAD83","UTM","52","Trl",,
793,36.20,-114.70,4009130.00,706674.00,11,"S","NAD83","UTM","52","Trl",,
794,36.20,-114.70,4009130.00,706670.00,11,"S","NAD83","UTM","52","Trl",,
795,36.20,-114.70,4009110.00,706649.00,11,"S","NAD83","UTM","52","Trl",,
796,36.20,-114.70,4009110.00,706649.00,11,"S","NAD83","UTM","52","Trl",,
797,36.20,-114.70,4009110.00,706637.00,11,"S","NAD83","UTM","53","Trl",,
798,36.33,-114.58,4024180.00,716518.00,11,"S","NAD83","UTM",,"Thl",,
799,36.33,-114.58,4024170.00,716521.00,11,"S","NAD83","UTM","26","Thl",,
800,36.33,-114.58,4024170.00,716384.00,11,"S","NAD83","UTM",,"Thl",,
801,36.33,-114.58,4024200.00,716253.00,11,"S","NAD83","UTM","26","Thl",,
802,36.33,-114.58,4024050.00,716253.00,11,"S","NAD83","UTM","26","Thl",,
803,36.33,-114.58,4023990.00,716350.00,11,"S","NAD83","UTM","27","Thl",,
804,36.33,-114.59,4023920.00,716145.00,11,"S","NAD83","UTM","27","Thl",,
805,36.33,-114.59,4023970.00,716110.00,11,"S","NAD83","UTM","27","Thl",,
806,36.33,-114.59,4023990.00,716082.00,11,"S","NAD83","UTM","29","Thl",,
807,36.33,-114.59,4023730.00,716061.00,11,"S","NAD83","UTM","29","Thl",,
808,36.33,-114.59,4023730.00,716020.00,11,"S","NAD83","UTM","29","Thl",,
809,36.33,-114.59,4023750.00,715980.00,11,"S","NAD83","UTM","29","Thl",,
810,36.33,-114.59,4023350.00,715704.00,11,"S","NAD83","UTM","29","Thl",,
811,36.32,-114.59,4023230.00,715954.00,11,"S","NAD83","UTM","30","Thl",,
812,36.32,-114.59,4023130.00,715871.00,11,"S","NAD83","UTM","30","Thl",,
813,36.32,-114.59,4023130.00,715871.00,11,"S","NAD83","UTM","30","Thl",,
814,36.32,-114.59,4023030.00,715818.00,11,"S","NAD83","UTM",,"Thl",,
815,36.32,-114.59,4023010.00,715790.00,11,"S","NAD83","UTM","30","Thl",,
816,36.32,-114.59,4022900.00,715752.00,11,"S","NAD83","UTM",,"Thl",,
817,36.33,-114.59,4023970.00,716100.00,11,"S","NAD83","UTM","31","Thl",,
818,36.32,-114.61,4022510.00,713744.00,11,"S","NAD83","UTM",,"Thl",,
819,36.32,-114.62,4022480.00,713323.00,11,"S","NAD83","UTM",,"Thl",,
820,36.32,-114.62,4022490.00,713319.00,11,"S","NAD83","UTM",,"Thl",,
821,36.32,-114.62,4022310.00,713166.00,11,"S","NAD83","UTM",,"Thl",,
822,36.32,-114.62,4022240.00,712976.00,11,"S","NAD83","UTM",,"Thl",,
823,36.32,-114.62,4022260.00,712997.00,11,"S","NAD83","UTM",,"Thl",,
824,36.32,-114.62,4022270.00,713014.00,11,"S","NAD83","UTM",,"Thl",,
825,36.32,-114.62,4022270.00,713011.00,11,"S","NAD83","UTM","31","Thl",,
826,36.32,-114.62,4022270.00,713014.00,11,"S","NAD83","UTM",,"Thl",,
827,36.32,-114.62,4022200.00,712915.00,11,"S","NAD83","UTM","31","Thl",,
828,36.32,-114.62,4022170.00,712818.00,11,"S","NAD83","UTM","32","Thl",,
829,36.32,-114.63,4022160.00,712676.00,11,"S","NAD83","UTM","32","Thl",,
830,36.32,-114.63,4022160.00,712677.00,11,"S","NAD83","UTM","32","Thl",,
831,36.32,-114.63,4022050.00,712493.00,11,"S","NAD83","UTM",,"Thl",,
832,36.31,-114.63,4021940.00,712383.00,11,"S","NAD83","UTM","32","Thl",,
833,36.31,-114.63,4021940.00,712383.00,11,"S","NAD83","UTM","33","Thl",,
834,36.31,-114.63,4021890.00,712335.00,11,"S","NAD83","UTM","33","Thl",,
835,36.31,-114.63,4021670.00,712393.00,11,"S","NAD83","UTM","33","Thl",,
836,36.31,-114.63,4021670.00,712397.00,11,"S","NAD83","UTM","34","Thl",,
837,36.31,-114.63,4021660.00,712395.00,11,"S","NAD83","UTM","34","Thl",,
838,36.31,-114.63,4021630.00,712384.00,11,"S","NAD83","UTM","35","Thl",,
839,36.31,-114.63,4021640.00,712375.00,11,"S","NAD83","UTM",,"Thl",,
840,36.31,-114.63,4021640.00,712376.00,11,"S","NAD83","UTM",,"Thl",,
841,36.32,-114.62,4022220.00,712939.00,11,"S","NAD83","UTM","36","Thl",,
842,36.32,-114.63,4022150.00,712672.00,11,"S","NAD83","UTM","37","Thl",,
843,36.32,-114.63,4022070.00,712590.00,11,"S","NAD83","UTM","37","Thl",,
844,36.20,-114.69,4008890.00,707095.00,11,"S","NAD83","UTM","35","Trl",,
845,36.20,-114.69,4008890.00,707095.00,11,"S","NAD83","UTM","35","Trl",,
846,36.20,-114.69,4008890.00,707095.00,11,"S","NAD83","UTM","36","Trl",,
847,36.20,-114.69,4009020.00,706807.00,11,"S","NAD83","UTM","42","Trl",,
848,36.20,-114.69,4009040.00,706793.00,11,"S","NAD83","UTM","44","Trl",,
849,36.20,-114.69,4009090.00,706803.00,11,"S","NAD83","UTM","46","Trl",,
850,36.20,-114.70,4009110.00,706637.00,11,"S","NAD83","UTM","47","Trl",,
851,36.20,-114.70,4009330.00,706511.00,11,"S","NAD83","UTM","48","Trl",,
852,36.20,-114.70,4009250.00,706525.00,11,"S","NAD83","UTM","51","Trl",,
853,36.20,-114.70,4009170.00,706588.00,11,"S","NAD83","UTM","51","Trl",,
854,0.00,0.00,4021580.00,712113.00,11,"N","NAD83","UTM","22","Thl","Old Waypt 34 Lauren Mitchell Hill 7",
855,0.00,0.00,4021670.00,712395.00,11,"N","NAD83","UTM","39","Thl","Old Waypt 33 Lauren Mitchell Hill 6",
856,0.00,0.00,4021930.00,712377.00,11,"N","NAD83","UTM","27","Thl","Old Waypt 32 Lauren Mitchell Hill 5",
857,0.00,0.00,4021980.00,712433.00,11,"N","NAD83","UTM","26","Thl","Old Waypt 31 Lauren Mitchell Hill 4 West",
858,0.00,0.00,4022050.00,712490.00,11,"N","NAD83","UTM","25","Thl","Old Waypt 28 Lauren Mitchell Hill 4 East",
859,0.00,0.00,4022060.00,712583.00,11,"N","NAD83","UTM","37","Thl","Old Waypt 25 Lauren Mitchell Hill 3 West",
860,0.00,0.00,4022160.00,712673.00,11,"N","NAD83","UTM","37","Thl","Old Waypt 21 Lauren Mitchell Hill 3 East",
861,0.00,0.00,4022180.00,712903.00,11,"N","NAD83","UTM","24","Thl","Old Waypt 17 Lauren Mitchell Hill 2",
862,0.00,0.00,4022220.00,712937.00,11,"N","NAD83","UTM","36","Thl","Old Waypt 13 Lauren Mitchell Hill 1",
863,0.00,0.00,4072002.27,725727.87,11,"S",,"UTM","58",,"Photos 1-5",
864,0.00,0.00,4071881.60,725543.64,11,"S",,"UTM","58",,"Photos 6-7; contact between Trc and ja",
865,0.00,0.00,4071893.94,725695.80,11,"S",,"UTM","58",,"Tufa or travertine material; photos 6-7",
866,0.00,0.00,4071888.62,725721.23,11,"S",,"UTM","59",,"Photos 8-12",
867,0.00,0.00,4024978.80,718383.69,11,"S",,"UTM","60",,,
868,0.00,0.00,4025004.42,718525.05,11,"S",,"UTM","60",,"Base of section measured by Hickson and Sarah McNamara",
869,0.00,0.00,4024989.45,718375.45,11,"S",,"UTM","63",,"60 m in section measured by Hickson and Sarah McNamara; offset to wypt 173",
870,0.00,0.00,4025067.45,718383.64,11,"S",,"UTM","63",,"~60 m in section measured by Hickson and Sarah McNamara; offset from wypt 172",
871,0.00,0.00,4025052.37,718210.96,11,"S",,"UTM","66",,"~128 m in section measured by Hickson and Sarah McNamara",
872,0.00,0.00,4025040.31,718104.97,11,"S",,"UTM","68",,"~185 m  in section measured by Hickson and Sarah McNamara.  Start of long interval of cover.",
873,0.00,0.00,4025005.40,717990.06,11,"S",,"UTM","68",,"~230 m  in section measured by Hickson and Sarah McNamara; end of long covered section",
874,0.00,0.00,4025000.34,717953.57,11,"S",,"UTM","69",,"~251 m  in section measured by Hickson and Sarah McNamara",
875,0.00,0.00,4024996.82,717878.12,11,"S",,"UTM","71",,"End of section  measured by Hickson and Sarah McNamara",
876,0.00,0.00,4025138.30,717864.04,11,"S",,"UTM","72",,"Detailed microbialite sampling locality.  Photos 18-25",
877,0.00,0.00,4025126.68,717866.08,11,"S",,"UTM","74",,"Detailed microbialite sampling; photos 26-31",
878,0.00,0.00,4025120.67,717869.85,11,"S",,"UTM","74",,"Isolated domal stroms with massive interior; photos 33-42",
879,0.00,0.00,4025120.76,717870.85,11,"S",,"UTM",,,,
880,0.00,0.00,4071870.95,725745.90,11,"S",,"UTM",,,,
